Fox fitness
Max;Avg;Min
12.61877;6.912615;0.9289014
13.30166;7.155926;0.9499722
12.3127;6.230992;0.9649802
12.89795;6.716724;0.9106486
12.38919;6.570131;0.9589045
12.32746;5.569042;0.9461366
13.42245;7.757061;0.9163095
12.59292;5.799482;0.9504167
13.39325;5.68071;0.9653654
13.1966;7.804005;0.9641668
12.91576;6.596579;0.9460004
13.22025;5.044337;0.9244308
12.91807;6.520588;0.9632637
13.43877;8.277659;0.9361529
12.61684;6.120172;0.9500508
12.39272;6.850624;0.938017
12.8575;5.612013;0.9598135
12.51849;6.26556;0.9604765
11.90826;5.996658;0.934127
12.71545;7.750201;0.9621303
13.00332;7.39183;0.9623733
13.81843;8.175942;0.9164721
12.30642;6.993212;0.961247
12.92451;6.910213;0.9439555
12.21828;7.199561;0.9621873
11.6186;5.275544;0.9633832
12.92547;6.631463;0.9345803
12.61029;7.568196;0.9639775
13.3452;8.212717;0.9326797
12.98511;7.463136;0.959612
12.92683;7.901175;0.9661403
13.00202;6.644843;0.9467461
12.32833;7.548236;0.9672879
13.01116;7.862335;0.9638019
13.21899;8.212218;0.9543431
12.89238;7.906007;0.96597
12.9123;7.653904;0.9649459
13.01576;7.571616;0.9651799
12.8186;7.939331;0.9182738
12.31448;5.32707;0.9578148
12.89333;6.004132;0.923421
13.53817;8.566184;0.9327378
12.61617;8.103684;0.9660111
12.40262;7.711954;0.9038793
12.60343;7.658534;0.9570277
12.62267;7.182144;0.9660921
12.32238;6.421065;0.9652988
12.60428;6.695445;0.9578827
13.10607;7.556198;0.9417172
12.61896;6.91093;0.9657405
12.02577;4.705049;0.9666852
12.61937;7.510104;0.967367
12.68952;6.791024;0.9318959
12.38378;5.956215;0.9606751
12.63435;8.379217;0.9335097
12.9072;7.787463;0.9635795
13.22198;7.578935;0.9332391
11.50177;6.507272;0.9617112
12.90173;7.475624;0.9455617
12.52505;4.981752;0.9660138
12.71399;7.30202;0.9678643
14.06827;8.879182;0.8875735
13.34706;8.008003;0.9465536
13.86051;8.71314;0.8697833
13.0157;7.726415;0.9558878
13.00478;7.786311;0.9615583
11.92973;3.484636;0.96165
12.28968;4.946639;0.9585255
14.68513;9.062629;0.9003095
12.90606;7.22102;0.9176563
13.51834;7.734237;0.950516
11.62382;6.320173;0.9586754
12.20919;6.733822;0.9614339
12.81811;8.070224;0.9644061
12.3079;6.728593;0.964236
12.40209;7.619865;0.9643069
12.71121;7.452349;0.9639945
12.78555;6.313066;0.9618869
12.70305;8.021407;0.9567183
12.71697;7.565084;0.9585646
12.12705;5.948887;0.9679365
12.88353;6.440156;0.9463081
13.23522;8.828426;0.8955027
12.30735;6.700126;0.9654064
12.69626;6.107213;0.9632509
12.88877;8.07652;0.9601759
12.71779;7.012242;0.9478226
12.71779;2.945934;-1
